duty_no,departure,origin,destination,direction,valid_days,bus_type
6103,05:30,N1,Central Park,Forward,Saturday,Train
6109,06:30,N1,Central Park,Forward,Saturday,Train
7113,06:10,N1,Central Park,Forward,Sunday,Train
129,05:20,S1,Central Park,Forward,Monday to Friday,Train
142,05:40,S1,Central Park,Forward,Monday to Friday,Train
176,04:40,1,Central Park,Forward,Monday to Friday,Train
132,05:20,1,Central Park,Forward,Monday to Friday,Train
106,04:50,T1,Central Park,Forward,Monday to Friday,Train
130,05:30,T1,Central Park,Forward,Monday to Friday,Train
151,06:00,T1,Central Park,Forward,Monday to Friday,Train
104,04:40,U7,Central Park,Forward,Monday to Friday,Train
115,04:50,U7,Central Park,Forward,Monday to Friday,Train
127,05:20,U7,Central Park,Forward,Monday to Friday,Train
133,05:40,U7,Central Park,Forward,Monday to Friday,Train
148,05:50,U7,Central Park,Forward,Monday to Friday,Train
157,06:20,U7,Central Park,Forward,Monday to Friday,Train
7105,05:00,U7,Central Park,Forward,Sunday,Train
6101,05:00,U7,Central Park,Forward,Saturday,Train
6102,05:10,U7,Central Park,Forward,Saturday,Train
6104,05:30,U7,Central Park,Forward,Saturday,Train
6105,06:00,U7,Central Park,Forward,Saturday,Train
6108,06:30,U7,Central Park,Forward,Saturday,Train
112,04:50,W4,Central Park,Forward,Monday to Friday,Train
134,05:40,W4,Central Park,Forward,Monday to Friday,Train
144,05:50,W4,Central Park,Forward,Monday to Friday,Train
158,06:30,W4,Central Park,Forward,Monday to Friday,Train
6123,04:00,W4,Central Park,Forward,Saturday,Train
6124,05:00,W4,Central Park,Forward,Saturday,Train
6125,06:00,W4,Central Park,Forward,Saturday,Train
111,06:20,Central Park,Fairways,Forward,Monday to Friday,Train
122,06:50,Central Park,Fairways,Forward,Monday to Friday,Train
135,07:00,Central Park,Fairways,Forward,Monday to Friday,Train
107,07:20,Central Park,Fairways,Forward,Monday to Friday,Train
102,07:40,Central Park,Fairways,Forward,Monday to Friday,Train
101,08:00,Central Park,Fairways,Forward,Monday to Friday,Train
161,10:00,Central Park,Fairways,Forward,Monday to Friday,Train
107,10:30,Central Park,Fairways,Forward,Monday to Friday,Train
164,11:10,Central Park,Fairways,Forward,Monday to Friday,Train
104,12:10,Central Park,Fairways,Forward,Monday to Friday,Train
106,12:40,Central Park,Fairways,Forward,Monday to Friday,Train
158,13:10,Central Park,Fairways,Forward,Monday to Friday,Train
125,13:40,Central Park,Fairways,Forward,Monday to Friday,Train
159,14:00,Central Park,Fairways,Forward,Monday to Friday,Train
160,14:10,Central Park,Fairways,Forward,Monday to Friday,Train
6122,06:00,Central Park,Fairways,Forward,Saturday,Train
6101,06:30,Central Park,Fairways,Forward,Saturday,Train
6103,07:00,Central Park,Fairways,Forward,Saturday,Train
6104,07:00,Central Park,Fairways,Forward,Saturday,Train
6105,07:40,Central Park,Fairways,Forward,Saturday,Train
6106,08:10,Central Park,Fairways,Forward,Saturday,Train
6122,09:40,Central Park,Fairways,Forward,Saturday,Train
7112,11:00,Central Park,Fairways,Forward,Sunday,Train
7109,13:00,Central Park,Fairways,Forward,Sunday,Train
7110,13:30,Central Park,Fairways,Forward,Sunday,Train
7111,13:40,Central Park,Fairways,Forward,Sunday,Train
7113,14:00,Central Park,Fairways,Forward,Sunday,Train
7117,14:00,Central Park,Fairways,Forward,Sunday,Train
7114,16:00,Central Park,Fairways,Forward,Sunday,Train
7115,16:00,Central Park,Fairways,Forward,Sunday,Train
7118,18:00,Central Park,Fairways,Forward,Sunday,Train
7119,18:00,Central Park,Fairways,Forward,Sunday,Train
7120,18:00,Central Park,Fairways,Forward,Sunday,Train
113,04:50,N6,Central Park,Forward,Monday to Friday,Train
139,05:30,N6,Central Park,Forward,Monday to Friday,Train
111,07:30,Fairways,Central Park,Forward,Monday to Friday,Train
122,08:10,Fairways,Central Park,Forward,Monday to Friday,Train
135,08:20,Fairways,Central Park,Forward,Monday to Friday,Train
107,08:40,Fairways,Central Park,Forward,Monday to Friday,Train
123,09:10,Fairways,Central Park,Forward,Monday to Friday,Train
164,09:40,Fairways,Central Park,Forward,Monday to Friday,Train
163,10:10,Fairways,Central Park,Forward,Monday to Friday,Train
161,11:10,Fairways,Central Park,Forward,Monday to Friday,Train
164,12:30,Fairways,Central Park,Forward,Monday to Friday,Train
169,13:00,Fairways,Central Park,Forward,Monday to Friday,Train
165,13:30,Fairways,Central Park,Forward,Monday to Friday,Train
168,14:00,Fairways,Central Park,Forward,Monday to Friday,Train
125,15:00,Fairways,Central Park,Forward,Monday to Friday,Train
159,15:30,Fairways,Central Park,Forward,Monday to Friday,Train
167,16:00,Fairways,Central Park,Forward,Monday to Friday,Train
166,17:10,Fairways,Central Park,Forward,Monday to Friday,Train
6122,07:10,Fairways,Central Park,Forward,Saturday,Train
6101,08:00,Fairways,Central Park,Forward,Saturday,Train
6103,08:30,Fairways,Central Park,Forward,Saturday,Train
6104,09:00,Fairways,Central Park,Forward,Saturday,Train
6105,10:00,Fairways,Central Park,Forward,Saturday,Train
6106,10:30,Fairways,Central Park,Forward,Saturday,Train
6110,11:00,Fairways,Central Park,Forward,Saturday,Train
6113,13:00,Fairways,Central Park,Forward,Saturday,Train
6114,14:00,Fairways,Central Park,Forward,Saturday,Train
6115,15:10,Fairways,Central Park,Forward,Saturday,Train
6116,15:40,Fairways,Central Park,Forward,Saturday,Train
6117,15:40,Fairways,Central Park,Forward,Saturday,Train
6118,16:00,Fairways,Central Park,Forward,Saturday,Train
6119,16:00,Fairways,Central Park,Forward,Saturday,Train
6121,16:30,Fairways,Central Park,Forward,Saturday,Train
6113,17:00,Fairways,Central Park,Forward,Saturday,Train
6114,17:30,Fairways,Central Park,Forward,Saturday,Train
7115,07:00,Fairways,Central Park,Forward,Sunday,Train
7116,07:00,Fairways,Central Park,Forward,Sunday,Train
7117,08:00,Fairways,Central Park,Forward,Sunday,Train
7118,16:30,Fairways,Central Park,Forward,Sunday,Train
7122,18:00,Fairways,Central Park,Forward,Sunday,Train
7121,17:30,Fairways,Hospitals,Forward,Sunday,Train
109,15:00,Bayswater,Central Park,Forward,Monday to Friday,Train
126,15:00,Bayswater,Central Park,Forward,Monday to Friday,Train
156,16:20,Bayswater,Central Park,Forward,Monday to Friday,Train
169,17:00,Bayswater,Central Park,Forward,Monday to Friday,Train
109,13:50,Dan Pienaar,Central Park,Forward,Monday to Friday,Train
264,15:00,Dan Pienaar,Central Park,Forward,Monday to Friday,Train
545,15:30,Dan Pienaar,Central Park,Forward,Monday to Friday,Train
260,16:30,Dan Pienaar,Central Park,Forward,Monday to Friday,Train
135,16:50,Dan Pienaar,Central Park,Forward,Monday to Friday,Train
163,14:00,Langenhovenpark,Central Park,Forward,Monday to Friday,Train
108,14:30,Langenhovenpark,Central Park,Forward,Monday to Friday,Train
260,15:00,Langenhovenpark,Central Park,Forward,Monday to Friday,Train
142,15:40,Langenhovenpark,Central Park,Forward,Monday to Friday,Train
145,15:40,Langenhovenpark,Central Park,Forward,Monday to Friday,Train
552,16:10,Langenhovenpark,Central Park,Forward,Monday to Friday,Train
533,16:10,Langenhovenpark,Central Park,Forward,Monday to Friday,Train
168,17:00,Langenhovenpark,Central Park,Forward,Monday to Friday,Train
120,17:30,Langenhovenpark,Central Park,Forward,Monday to Friday,Train
552,15:00,Pellissier,Central Park,Forward,Monday to Friday,Train
557,05:20,Brandfort,Central Park ,Forward,Monday to Friday,Train
116,15:30,Woodland Hills,Central Park,Forward,Monday to Friday,Train
127,16:10,Woodland Hills,Central Park,Forward,Monday to Friday,Train
128,16:30,Woodland Hills,Central Park,Forward,Monday to Friday,Train
142,17:10,Woodland Hills,Central Park,Forward,Monday to Friday,Train
280,04:10,Springfontein,Thaba Nchu,Forward,Monday to Friday,Standard
280,07:30,Klipfontein,Thaba Nchu,Forward,Monday to Friday,Standard
6280,07:30,Klipfontein,Thaba Nchu,Forward,Saturday,Standard
7280,08:00,Klipfontein,Thaba Nchu,Forward,Sunday,Standard
280,06:30,Thaba Nchu,Klipfontein,Forward,Monday to Friday,Standard
272,13:30,Thaba Nchu,Klipfontein,Forward,Monday to Friday,Standard
6280,16:30,Thaba Nchu,Klipfontein,Forward,Saturday,Standard
7280,17:00,Thaba Nchu,Klipfontein,Forward,Sunday,Standard
281,06:40,Thaba Nchu,Woodbridge,Forward,Monday to Friday,Standard
6281,16:30,Thaba Nchu,Woodbridge,Forward,Saturday,Standard
7281,17:00,Thaba Nchu,Woodbridge,Forward,Sunday,Standard
281,05:10,Woodbridge,Thaba Nchu,Forward,Monday to Friday,Standard
281,16:30,Thaba Nchu,Woodbridge,Forward,Monday to Friday,Standard
282,18:00,Thaba Nchu,Woodbridge,Forward,Monday to Friday,Standard
282,05:10,Woodbridge,Thaba Nchu,Forward,Monday to Friday,Standard
271,08:00,Mariasdal,Thaba Nchu,Forward,Monday to Friday,Standard
277,15:00,Mariasdal,Thaba Nchu,Forward,Monday to Friday,Standard
219,05:10,Rooifontein,Thaba Nchu,Forward,Monday to Friday,Standard
276,19:10,Sediti,Spitskop,Forward,Monday to Friday,Standard
6270,08:40,Sediti,Thaba Nchu,Forward,Saturday,Standard
6270,14:20,Sediti,Thaba Nchu,Forward,Saturday,Standard
7270,08:30,Sediti,Thaba Nchu,Forward,Sunday,Standard
7270,14:20,Sediti,Thaba Nchu,Forward,Sunday,Standard
272,04:40,Modutung,Thaba Nchu,Forward,Monday to Friday,Standard
282,08:00,Modutung,Thaba Nchu,Forward,Monday to Friday,Standard
282,14:50,Modutung,Thaba Nchu,Forward,Monday to Friday,Standard
6272,07:30,Modutung,Thaba Nchu,Forward,Saturday,Standard
6274,14:40,Modutung,Thaba Nchu,Forward,Saturday,Standard
7272,08:00,Modutung,Thaba Nchu,Forward,Sunday,Standard
7274,14:40,Modutung,Thaba Nchu,Forward,Sunday,Standard
7271,08:00,Moroto,Thaba Nchu,Forward,Sunday,Standard
273,04:40,Spitskop,Thaba Nchu,Forward,Monday to Friday,Standard
273,08:00,Spitskop,Thaba Nchu,Forward,Monday to Friday,Standard
6273,07:30,Spitskop,Thaba Nchu,Forward,Saturday,Standard
6273,14:40,Spitskop,Thaba Nchu,Forward,Saturday,Standard
7273,08:00,Spitskop,Thaba Nchu,Forward,Sunday,Standard
7273,14:30,Spitskop,Thaba Nchu,Forward,Sunday,Standard
271,05:00,Moroto,Thaba Nchu,Forward,Monday to Friday,Standard
6271,07:30,Moroto,Thaba Nchu,Forward,Saturday,Standard
276,15:00,Spitskop,Thaba Nchu,Forward,Monday to Friday,Standard
282,06:40,Thaba Nchu,Modutung,Forward,Monday to Friday,Standard
282,13:30,Thaba Nchu,Modutung,Forward,Monday to Friday,Standard
272,17:30,Thaba Nchu,Modutung,Forward,Monday to Friday,Standard
6274,13:30,Thaba Nchu,Modutung,Forward,Saturday,Standard
6272,16:30,Thaba Nchu,Modutung,Forward,Saturday,Standard
7274,13:30,Thaba Nchu,Modutung,Forward,Sunday,Standard
7272,17:00,Thaba Nchu,Modutung,Forward,Sunday,Standard
274,06:30,Thaba Nchu,Paradys,Forward,Monday to Friday,Standard
6274,16:30,Thaba Nchu,Paradys,Forward,Saturday,Standard
7274,17:00,Thaba Nchu,Paradys,Forward,Sunday,Standard
280,13:30,Thaba Nchu,Paradys,Forward,Monday to Friday,Standard
277,17:30,Thaba Nchu,Moroto,Forward,Monday to Friday,Standard
6271,16:30,Thaba Nchu,Moroto,Forward,Saturday,Standard
7271,17:00,Thaba Nchu,Moroto,Forward,Sunday,Standard
274,17:30,Thaba Nchu,Paradys,Forward,Monday to Friday,Standard
273,06:40,Thaba Nchu,Spitskop,Forward,Monday to Friday,Standard
273,13:30,Thaba Nchu,Spitskop,Forward,Monday to Friday,Standard
276,17:30,Thaba Nchu,Spitskop,Forward,Monday to Friday,Standard
6273,13:30,Thaba Nchu,Spitskop,Forward,Saturday,Standard
6273,16:30,Thaba Nchu,Spitskop,Forward,Saturday,Standard
6274,07:30,Paradys,Thaba Nchu,Forward,Saturday,Standard
274,03:30,Paradys,Zone 1,Forward,Monday to Friday,Standard
520,05:10,Soutpan,Central Park,Forward,Monday to Friday,Standard
558,05:50,Soutpan,Central Park,Forward,Monday to Friday,Standard
6505,05:50,Soutpan,Central Park,Forward,Saturday,Standard
7520,15:00,Soutpan,Central Park,Forward,Sunday,Standard
520,17:00,Central Park,Soutpan,Forward,Monday to Friday,Standard
558,18:00,Central Park,Soutpan,Forward,Monday to Friday,Standard
6505,13:30,Central Park,Soutpan,Forward,Saturday,Standard
7520,17:30,Central Park,Soutpan,Forward,Sunday,Standard
561,15:10,Central Park,Freedomsquare,Reverse,Monday to Friday,Standard
546,16:00,Central Park,Freedomsquare,Reverse,Monday to Friday,Standard
508,16:30,Central Park,Freedomsquare,Reverse,Monday to Friday,Standard
552,17:00,Central Park,Freedomsquare,Reverse,Monday to Friday,Standard
534,17:30,Central Park,Freedomsquare,Reverse,Monday to Friday,Standard
540,18:00,Central Park,Freedomsquare,Reverse,Monday to Friday,Standard
516,18:30,Central Park,Freedomsquare,Reverse,Monday to Friday,Standard
520,15:40,Central Park,Bergmansquare,Reverse,Monday to Friday,Standard
541,17:00,Central Park,Bergmansquare,Reverse,Monday to Friday,Standard
537,17:50,Central Park,Bergmansquare,Reverse,Monday to Friday,Standard
7,07:10,Central Park,Limo Mall,Reverse,Monday to Friday,Standard
549,15:00,Central Park,Khayalitsha,Reverse,Monday to Friday,Standard
531,16:00,Central Park,Khayalitsha,Reverse,Monday to Friday,Standard
561,16:30,Central Park,Khayalitsha,Reverse,Monday to Friday,Standard
553,17:00,Central Park,Khayalitsha,Reverse,Monday to Friday,Standard
555,17:30,Central Park,Khayalitsha,Reverse,Monday to Friday,Standard
560,18:30,Central Park,Khayalitsha,Reverse,Monday to Friday,Standard
538,16:00,Central Park,Meadows,Reverse,Monday to Friday,Standard
535,17:30,Central Park,Meadows,Reverse,Monday to Friday,Standard
559,15:30,Central Park,Naledi,Reverse,Monday to Friday,Standard
547,17:00,Central Park,Naledi,Reverse,Monday to Friday,Standard
521,18:30,Central Park,Naledi,Reverse,Monday to Friday,Standard
511,16:00,Central Park,Namibia,Reverse,Monday to Friday,Standard
517,17:00,Central Park,Namibia,Reverse,Monday to Friday,Standard
515,15:10,Central Park,Phase 2,Reverse,Monday to Friday,Standard
516,16:20,Central Park,Phase 2,Reverse,Monday to Friday,Standard
549,17:30,Central Park,Phase 2,Reverse,Monday to Friday,Standard
505,18:30,Central Park,Phase 2,Reverse,Monday to Friday,Standard
539,15:30,Central Park,Motsabi,Reverse,Monday to Friday,Standard
540,16:20,Central Park,Motsabi,Reverse,Monday to Friday,Standard
543,17:10,Central Park,Motsabi,Reverse,Monday to Friday,Standard
536,17:50,Central Park,Motsabi,Reverse,Monday to Friday,Standard
543,18:30,Central Park,Motsabi,Reverse,Monday to Friday,Standard
531,17:10,Central Park,Motsabi 2,Reverse,Monday to Friday,Standard
532,15:10,Central Park,Phelindaba,Reverse,Monday to Friday,Standard
509,15:40,Central Park,Phelindaba,Reverse,Monday to Friday,Standard
537,16:20,Central Park,Phelindaba,Reverse,Monday to Friday,Standard
519,17:20,Central Park,Phelindaba,Reverse,Monday to Friday,Standard
545,17:50,Central Park,Phelindaba,Reverse,Monday to Friday,Standard
542,18:30,Central Park,Phelindaba,Reverse,Monday to Friday,Standard
517,14:30,Central Park,Rocklands,Reverse,Monday to Friday,Standard
505,15:10,Central Park,Rocklands,Reverse,Monday to Friday,Standard
549,16:10,Central Park,Rocklands,Reverse,Monday to Friday,Standard
559,17:00,Central Park,Rocklands,Reverse,Monday to Friday,Standard
548,17:20,Central Park,Rocklands,Reverse,Monday to Friday,Standard
536,15:10,Central Park,Phase 4,Reverse,Monday to Friday,Standard
518,16:00,Central Park,Phase 4,Reverse,Monday to Friday,Standard
536,16:30,Central Park,Phase 4,Reverse,Monday to Friday,Standard
554,17:00,Central Park,Phase 4,Reverse,Monday to Friday,Standard
538,17:30,Central Park,Phase 4,Reverse,Monday to Friday,Standard
541,18:30,Central Park,Phase 4,Reverse,Monday to Friday,Standard
516,15:10,Central Park,Turflaagte,Reverse,Monday to Friday,Standard
535,16:20,Central Park,Turflaagte,Reverse,Monday to Friday,Standard
511,17:00,Central Park,Turflaagte,Reverse,Monday to Friday,Standard
521,17:30,Central Park,Turflaagte,Reverse,Monday to Friday,Standard
512,17:50,Central Park,Turflaagte,Reverse,Monday to Friday,Standard
556,18:30,Central Park,Turflaagte,Reverse,Monday to Friday,Standard
537,15:10,Central Park,Peter Swart,Reverse,Monday to Friday,Standard
534,16:20,Central Park,Peter Swart,Reverse,Monday to Friday,Standard
546,17:20,Central Park,Peter Swart,Reverse,Monday to Friday,Standard
532,18:00,Central Park,Peter Swart,Reverse,Monday to Friday,Standard
554,18:30,Central Park,Peter Swart,Reverse,Monday to Friday,Standard
560,17:00,Central Park,Phase 6,Reverse,Monday to Friday,Standard
557,16:00,Central Park,Phase 6,Reverse,Monday to Friday,Standard
22,15:00,Central Park,Mandela View,Reverse,Monday to Friday,Standard
38,16:10,Central Park,Mandela View,Reverse,Monday to Friday,Standard
203,06:00,Central Park,Zone 1,Reverse,Monday to Friday,Standard
262,08:00,Central Park,Zone 1,Reverse,Monday to Friday,Standard
267,09:10,Central Park,Zone 1,Reverse,Monday to Friday,Standard
250,10:40,Central Park,Zone 1,Reverse,Monday to Friday,Standard
251,12:00,Central Park,Zone 1,Reverse,Monday to Friday,Standard
252,12:30,Central Park,Zone 1,Reverse,Monday to Friday,Standard
208,15:30,Central Park,Zone 1,Reverse,Monday to Friday,Standard
219,16:00,Central Park,Zone 1,Reverse,Monday to Friday,Standard
233,17:10,Central Park,Zone 1,Reverse,Monday to Friday,Standard
227,17:40,Central Park,Zone 1,Reverse,Monday to Friday,Standard
291,19:30,Central Park,Zone 1,Reverse,Monday to Friday,Standard
230,20:00,Central Park,Zone 1,Reverse,Monday to Friday,Standard
293,21:00,Central Park,Zone 1,Reverse,Monday to Friday,Standard
294,22:30,Central Park,Zone 1,Reverse,Monday to Friday,Standard
7208,11:00,Central Park,Zone 1,Reverse,Sunday,Standard
7208,17:00,Central Park,Zone 1,Reverse,Sunday,Standard
7259,19:30,Central Park,Zone 1,Reverse,Sunday,Standard
6202,06:00,Central Park,Zone 1,Reverse,Saturday,Standard
6206,09:00,Central Park,Zone 1,Reverse,Saturday,Standard
6205,11:00,Central Park,Zone 1,Reverse,Saturday,Standard
6253,12:00,Central Park,Zone 1,Reverse,Saturday,Standard
6203,12:30,Central Park,Zone 1,Reverse,Saturday,Standard
6201,13:00,Central Park,Zone 1,Reverse,Saturday,Standard
6219,13:40,Central Park,Zone 1,Reverse,Saturday,Standard
6252,15:00,Central Park,Zone 1,Reverse,Saturday,Standard
6206,16:30,Central Park,Zone 1,Reverse,Saturday,Standard
6217,17:30,Central Park,Zone 1,Reverse,Saturday,Standard
6257,18:00,Central Park,Zone 1,Reverse,Saturday,Standard
6212,19:00,Central Park,Zone 1,Reverse,Saturday,Standard
6215,19:30,Central Park,Zone 1,Reverse,Saturday,Standard
6258,21:00,Central Park,Zone 1,Reverse,Saturday,Standard
7251,06:00,Central Park,Zone 1,Reverse,Sunday,Standard
7201,07:00,Central Park,Zone 1,Reverse,Sunday,Standard
7252,08:00,Central Park,Zone 1,Reverse,Sunday,Standard
7205,14:00,Central Park,Zone 1,Reverse,Sunday,Standard
7212,20:00,Central Park,Zone 1,Reverse,Sunday,Standard
7213,21:00,Central Park,Zone 1,Reverse,Sunday,Standard
7209,22:30,Central Park,Zone 1,Reverse,Sunday,Standard
253,13:00,Central Park,Zone 1,Reverse,Monday to Friday,Standard
257,16:30,Central Park,Zone 1,Reverse,Monday to Friday,Standard
294,19:00,Central Park,Zone 1,Reverse,Monday to Friday,Standard
212,16:40,Central Park,Unit 1,Reverse,Monday to Friday,Standard
202,17:30,Central Park,Zone 5,Reverse,Monday to Friday,Standard
217,18:00,Central Park,Makurung,Reverse,Monday to Friday,Standard
226,14:30,Central Park,Zone 3 + 4,Reverse,Monday to Friday,Standard
232,15:30,Central Park,Zone 3 + 4,Reverse,Monday to Friday,Standard
222,18:10,Central Park,Zone 3 + 4,Reverse,Monday to Friday,Standard
221,18:30,Central Park,Zone 3 + 4,Reverse,Monday to Friday,Standard
229,19:30,Central Park,Zone 3 + 4,Reverse,Monday to Friday,Standard
7254,16:00,Central Park,Zone 3 + 4,Reverse,Sunday,Standard
7213,17:00,Central Park,Zone 3 + 4,Reverse,Sunday,Standard
7209,18:00,Central Park,Zone 3 + 4,Reverse,Sunday,Standard
213,17:30,Central Park,Garapulana,Reverse,Monday to Friday,Standard
205,06:30,Central Park,Mokwena,Reverse,Monday to Friday,Standard
227,14:00,Central Park,Mokwena,Reverse,Monday to Friday,Standard
207,15:00,Central Park,Mokwena,Reverse,Monday to Friday,Standard
228,15:30,Central Park,Mokwena,Reverse,Monday to Friday,Standard
209,16:00,Central Park,Mokwena,Reverse,Monday to Friday,Standard
210,16:30,Central Park,Mokwena,Reverse,Monday to Friday,Standard
211,16:40,Central Park,Mokwena,Reverse,Monday to Friday,Standard
214,17:00,Central Park,Mokwena,Reverse,Monday to Friday,Standard
215,17:20,Central Park,Mokwena,Reverse,Monday to Friday,Standard
220,17:40,Central Park,Mokwena,Reverse,Monday to Friday,Standard
224,18:00,Central Park,Mokwena,Reverse,Monday to Friday,Standard
228,18:30,Central Park,Mokwena,Reverse,Monday to Friday,Standard
231,19:00,Central Park,Mokwena,Reverse,Monday to Friday,Standard
7202,07:00,Central Park,Mokwena,Reverse,Sunday,Standard
6209,13:00,Central Park,Mokwena,Reverse,Saturday,Standard
6204,14:00,Central Park,Mokwena,Reverse,Saturday,Standard
6211,16:00,Central Park,Mokwena,Reverse,Saturday,Standard
6210,17:00,Central Park,Mokwena,Reverse,Saturday,Standard
6216,19:00,Central Park,Mokwena,Reverse,Saturday,Standard
7203,13:00,Central Park,Mokwena,Reverse,Sunday,Standard
7204,14:00,Central Park,Mokwena,Reverse,Sunday,Standard
7206,15:00,Central Park,Mokwena,Reverse,Sunday,Standard
206,13:00,Central Park,Mokwena,Reverse,Monday to Friday,Standard
216,17:10,Central Park,Selosesha,Reverse,Monday to Friday,Standard
218,17:40,Central Park,Rooifontein,Reverse,Monday to Friday,Standard
550,15:00,Central Park,Phase 3,Reverse,Monday to Friday,Standard
548,16:00,Central Park,Phase 3,Reverse,Monday to Friday,Standard
542,17:00,Central Park,Phase 3,Reverse,Monday to Friday,Standard
518,17:20,Central Park,Phase 3,Reverse,Monday to Friday,Standard
525,17:30,Central Park,Ipopeng,Reverse,Monday to Friday,Standard
521,15:00,Central Park,Mafora,Reverse,Monday to Friday,Standard
545,16:20,Central Park,Mafora,Reverse,Monday to Friday,Standard
556,17:00,Central Park,Mafora,Reverse,Monday to Friday,Standard
544,17:30,Central Park,Mafora,Reverse,Monday to Friday,Standard
559,18:30,Central Park,Mafora,Reverse,Monday to Friday,Standard
519,16:00,Central Park,Phase 7,Reverse,Monday to Friday,Standard
515,17:00,Central Park,Phase 7,Reverse,Monday to Friday,Standard
547,18:30,Central Park,Phase 7,Reverse,Monday to Friday,Standard
202,07:30,Central Park,Lakeview,Reverse,Monday to Friday,Standard
209,06:30,Central Park,Bartemia,Reverse,Monday to Friday,Standard
540,15:00,Central Park,Phase 6,Reverse,Monday to Friday,Train
541,15:40,Central Park,Phase 6,Reverse,Monday to Friday,Train
550,16:30,Central Park,Phase 6,Reverse,Monday to Friday,Train
539,17:10,Central Park,Phase 6,Reverse,Monday to Friday,Train
533,17:30,Central Park,Phase 6,Reverse,Monday to Friday,Train
550,18:00,Central Park,Phase 6,Reverse,Monday to Friday,Train
548,18:30,Central Park,Phase 6,Reverse,Monday to Friday,Train
250,05:30,Central Park,Zone 1,Reverse,Monday to Friday,Train
255,07:00,Central Park,Zone 1,Reverse,Monday to Friday,Train
256,13:50,Central Park,Zone 1,Reverse,Monday to Friday,Train
268,16:40,Central Park,Zone 1,Reverse,Monday to Friday,Train
260,17:00,Central Park,Zone 1,Reverse,Monday to Friday,Train
263,17:30,Central Park,Zone 1,Reverse,Monday to Friday,Train
264,18:00,Central Park,Zone 1,Reverse,Monday to Friday,Train
252,06:30,Central Park,Zone 1,Reverse,Monday to Friday,Train
291,22:30,Central Park,Zone 1,Reverse,Monday to Friday,Train
6256,08:30,Central Park,Zone 1,Reverse,Saturday,Train
6251,14:30,Central Park,Zone 1,Reverse,Saturday,Train
6255,17:00,Central Park,Zone 1,Reverse,Saturday,Train
7255,09:00,Central Park,Zone 1,Reverse,Sunday,Train
7256,12:00,Central Park,Zone 1,Reverse,Sunday,Train
7253,13:00,Central Park,Zone 1,Reverse,Sunday,Train
7258,15:00,Central Park,Zone 1,Reverse,Sunday,Train
7255,16:00,Central Park,Zone 1,Reverse,Sunday,Train
7256,18:00,Central Park,Zone 1,Reverse,Sunday,Train
7258,19:00,Central Park,Zone 1,Reverse,Sunday,Train
290,15:00,Central Park,Zone 1,Reverse,Monday to Friday,Train
266,16:10,Central Park,Zone 1,Reverse,Monday to Friday,Train
292,18:30,Central Park,Zone 1,Reverse,Monday to Friday,Train
291,16:00,Central Park,Zone 3 + 4,Reverse,Monday to Friday,Train
259,16:30,Central Park,Zone 3 + 4,Reverse,Monday to Friday,Train
255,17:00,Central Park,Zone 3 + 4,Reverse,Monday to Friday,Train
261,17:30,Central Park,Zone 3 + 4,Reverse,Monday to Friday,Train
293,17:40,Central Park,Zone 3 + 4,Reverse,Monday to Friday,Train
265,18:00,Central Park,Zone 3 + 4,Reverse,Monday to Friday,Train
290,19:00,Central Park,Zone 3 + 4,Reverse,Monday to Friday,Train
7257,19:00,Central Park,Zone 3+4,Reverse,Sunday,Train
36,17:40,Central Park,A1,Reverse,Monday to Friday,Standard
50,19:00,Central Park,A1,Reverse,Monday to Friday,Standard
6001,13:00,Central Park,A1,Reverse,Saturday,Standard
6010,15:00,Central Park,A1,Reverse,Saturday,Standard
21,15:00,Central Park,A4,Reverse,Monday to Friday,Standard
37,15:30,Central Park,C2,Reverse,Monday to Friday,Standard
18,16:00,Central Park,C2,Reverse,Monday to Friday,Standard
26,16:30,Central Park,C2,Reverse,Monday to Friday,Standard
66,17:00,Central Park,C2,Reverse,Monday to Friday,Standard
59,17:30,Central Park,C2,Reverse,Monday to Friday,Standard
43,18:00,Central Park,C2,Reverse,Monday to Friday,Standard
65,18:30,Central Park,C2,Reverse,Monday to Friday,Standard
10,15:30,Central Park,D1,Reverse,Monday to Friday,Standard
28,16:30,Central Park,D1,Reverse,Monday to Friday,Standard
33,17:10,Central Park,D1,Reverse,Monday to Friday,Standard
149,18:10,Central Park,D1,Reverse,Monday to Friday,Standard
164,19:00,Central Park,D1,Reverse,Monday to Friday,Standard
6022,17:30,Central Park,D1,Reverse,Saturday,Standard
6009,13:00,Central Park,D1,Reverse,Saturday,Standard
6008,15:00,Central Park,D1,Reverse,Saturday,Standard
6028,18:00,Central Park,D1,Reverse,Saturday,Standard
32,15:00,Central Park,J1,Reverse,Monday to Friday,Standard
16,15:40,Central Park,J1,Reverse,Monday to Friday,Standard
63,17:10,Central Park,J1,Reverse,Monday to Friday,Standard
54,17:30,Central Park,J1,Reverse,Monday to Friday,Standard
42,18:00,Central Park,J1,Reverse,Monday to Friday,Standard
23,06:30,Central Park,G1,Reverse,Monday to Friday,Standard
6048,13:00,Central Park,G1,Reverse,Saturday,Standard
6113,15:00,Central Park,G1,Reverse,Saturday,Standard
7019,20:00,Central Park,G2,Reverse,Sunday,Standard
36,15:30,Central Park,J3,Reverse,Monday to Friday,Standard
17,16:00,Central Park,J3,Reverse,Monday to Friday,Standard
29,16:30,Central Park,J3,Reverse,Monday to Friday,Standard
